ID,英文名稱,中文名稱,圖片,更新時間,更新日期
5462461,cardiac cycle,心搏周期,,,2019-10-31
5462462,cardiac muscle,心肌,,,2019-10-31
5462463,cardiopulmonary resuscitation {=CPR},心肺復甦術,,,2019-10-31
5462464,cardiotoxin,心臟毒素,,,2019-10-31
5462465,cardiovascular system,心血管系統,,,2019-10-31
5462466,carnivore,肉食動物,,,2019-10-31
5462467,carnivorous plant,食蟲植物,,,2019-10-31
5462468,carotene,胡蘿蔔素,,,2019-10-31
5462469,carotenoid,類胡蘿蔔素,,,2019-10-31
5462470,carotid artery,頸動脈,,,2019-10-31
5462471,carpel,心皮,,,2019-10-31
5462472,carrageenin,紅藻膠,,,2019-10-31
5462473,carrier,帶因者；帶原者,,,2019-10-31
5462474,carrier protein,攜載蛋白；載體蛋白,,,2019-10-31
5462475,carrying capacity,負荷量；承載量,,,2019-10-31
5462476,cartilage,軟骨,,,2019-10-31
5462477,cartilaginous fish,軟骨魚,,,2019-10-31
5462478,Casparian strip,卡氏帶,,,2019-10-31
5462479,catabolism,分解代謝；異化代謝,,,2019-10-31
5462480,catalase,過氧化氫酶,,,2019-10-31
5462481,catalyst,催化劑,,,2019-10-31
5462482,cataract,白內障,,,2019-10-31
5462483,caudate nucleus,尾核,,,2019-10-31
5462484,CCK {cholecystokinin},膽囊收縮素,,,2019-10-31
5462485,"ceca {sing. cecum; caeca, pl. caecum}",盲腸,,,2019-10-31
5462486,"cecum {pl. ceca; caecum, pl. caeca}",盲腸,,,2019-10-31
5462487,cell,細胞,,,2019-10-31
5462488,cell body,細胞本體,,,2019-10-31
5462489,cell culture,細胞培養,,,2019-10-31
5462490,cell cycle,細胞周期；細胞週期,,,2019-10-31
5462491,cell differentiation {cellular differentiation},細胞分化,,,2019-10-31
5462492,cell division,細胞分裂,,,2019-10-31
5462493,cell fusion,細胞融合,,,2019-10-31
5462494,cell growth,細胞生長,,,2019-10-31
5462495,cell immunity,細胞免疫,,,2019-10-31
5462496,cell membrane,細胞膜 {舊名},,,2019-10-31
